م;"أســماء اللجنان النقابية 
 بالشـــــــركات";;;;;
2; إيرادات النقابة;4000; إيرادات من اشتراكات الشركات والهيئات;4002;;
3; إيرادات النقابة;4000;الإيرادات من المطبوعات;4003;;
4; إيرادات النقابة;4000;الإيرادات من عائد الودائع;4004;;
5; إيرادات النقابة;4000;الإيرادات من دعم التثقيف;4005;;
6; إيرادات النقابة;4000;الإيرادات المتنوعة;4006;;
7; إيرادات النقابة;4000; إيرادات مصيف مطروح;4007;;
8; إيرادات النقابة;4000;إيرادات مصيف جمصة;4008;;
9; إيرادات النقابة;4000;إيرادات أبراج توزيع شبكات الاتصالات;4009;;
10; إيرادات النقابة;4000;إيرادات ايجارات شقق عمارة المعادى;4010;;
11; إيرادات النقابة;4000;إيرادات مكاتب شئون العضوية;4011;;
12; إيرادات النقابة;4000;إيرادات مقدمة;4012;;
13; إيرادات النقابة;4000;إيرادات سنوات سابقة;4013;;
1;مصـروفات عمومية وإدارية;5000;"علاقات
 عامة";5001;;
2;مصـروفات عمومية وإدارية;5000;مصاريف اجتماعات;5002;;
3;مصـروفات عمومية وإدارية;5000;رسوم;5003;;
4;مصـروفات عمومية وإدارية;5000;ايجار;5004;;
5;مصـروفات عمومية وإدارية;5000;اكراميات ونثريات;5005;;
6;مصـروفات عمومية وإدارية;5000;اعلانات;5006;;
7;مصـروفات عمومية وإدارية;5000;كهرباء;5007;;
8;مصـروفات عمومية وإدارية;5000;"بريد 
ودمغة";5008;;
9;مصـروفات عمومية وإدارية;5000;غاز;5009;;
10;مصـروفات عمومية وإدارية;5000;تليفون;5010;;
11;مصـروفات عمومية وإدارية;5000;مياه;5011;;
12;مصـروفات عمومية وإدارية;5000;رسوم اشتراك فى الاهرام وصحف;5012;;
13;مصـروفات عمومية وإدارية;5000;ضيافة وبوفيه;5013;;
14;مصـروفات عمومية وإدارية;5000;صيانه;5014;;
15;مصـروفات عمومية وإدارية;5000;"مطبوعات وادوات
 كتابية";5015;;
16;مصـروفات عمومية وإدارية;5000;السيارة;5016;;
17;مصـروفات عمومية وإدارية;5000;بنكية;5017;;
18;مصـروفات عمومية وإدارية;5000;ادوات نظافة ومنظفات;5018;;
19;مصـروفات عمومية وإدارية;5000;مستلزمات طبية ( كورونا );5019;;
20;مصـروفات عمومية وإدارية;5000;بدل سفر وانتقال ;5020;;
21;مصـروفات عمومية وإدارية;5000;انتقالات داخلية  ;5021;;
22;مصـروفات عمومية وإدارية;5000;النت;5022;;
23;مصـروفات عمومية وإدارية;5000;مرتبات ومكافأة شاملة;5023;;
24;مصـروفات عمومية وإدارية;5000;تأمين على الخزينة;5024;;
25;مصـروفات عمومية وإدارية;5000;مكافأت وبدل العمل أيام الاجازات الرسمية;5025;;
26;مصـروفات عمومية وإدارية;5000;مستلزمات كمبيوتر ;5026;;
27;مصـروفات عمومية وإدارية;5000;مستلزمات مكتب رئيس مجلس الإدارة;5027;;
